Capacity,Course Level,Course No,Course Title,Credits,Days Time,Days,Description,Division,End Date,Enroll/Cap,Enrolled,Instructor(s),Location,Program,Section,Semister,Session,Start Date,Year,Times,Term,Title
0,,INH3514,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Gale, Mary", ,Undergraduate,05, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3514,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",0 of 0,0,"Edmunds, John C", ,Undergraduate,06, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3514,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Goldstein, Beth", ,Undergraduate,07, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3514,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Beitelspacher, Lauren SGrewal, Dhruv", ,Undergraduate,08, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3524,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Amovic, Bojan", ,Undergraduate,01, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3524,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Hill, Krista", ,Undergraduate,02, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Simon, JessicaWynstra, Beth", ,Undergraduate,01, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",3 of 0,3,"Mohaghegh, Jason B", ,Undergraduate,02, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",2 of 0,2,"Swanson, Elizabeth", ,Undergraduate,03, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Mohaghegh, Jason BNersessian, David", ,Undergraduate,04, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Schmitz, Paul", ,Undergraduate,05, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",0 of 0,0,"Dietrick, Jon", ,Undergraduate,06, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Bradford, James", ,Undergraduate,07, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Hodge, Jon", ,Undergraduate,08, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Bauer, Stephen K", ,Undergraduate,09, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Pinard, Mary C", ,Undergraduate,10, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Gordon, Steven R", ,Undergraduate,11, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Chan, Eric W", ,Undergraduate,12, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Erzurumlu, SinanKorsak, John", ,Undergraduate,13, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3614,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Mukherjee, Kankana", ,Undergraduate,14, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,INH3624,+/-(not specified) ,4.00,,,,Other,"Dec 15, 2018",1 of 0,1,"Pachamanova, Dessislava", ,Undergraduate,01, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,HONORS INDEPENDENT RESEARCH
0,,ITL1200,+/-(not specified) ,5.00,,,,Arts & Humanities,"Dec 15, 2018",0 of 0,0,, ,Undergraduate,02, Fall 2018,Full Session,"Aug 27, 2018",2018,,Fall,ITALIAN ELECTIVE
20,Advanced Liberal Arts,ARB4640,+/-Advanced Liberal Arts ,4.00,TR     9:45AM-11:20AM,TR,"ARB4640 Arab Cinema and Culture (formerly ARB4600)4 credit advanced liberal artsThis course is designed as an advanced-level conversation class, with a strong cultural component. It explores Arab cinema from the colonial period to the present, and provides an in-depth exploration of “cultural identity” and “politics” in the Arab World. Although Egypt is considered the biggest film producer in the Arab world, the course aspires to represent various cinemas across the region, from Morocco and Algeria to Syria, Lebanon, Saudi Arabia, and Palestine, introducing students to notable moments and phenomena in the history of these cinemas. The course will be taught in Arabic and all films will be in Arabic with English subtitle. In addition to film viewings, students will be required to read critical and theoretical articles that pertain to class discussion. These films and readings serve as the basis for debate, discussion and written analysis of issues relevant to the history, culture and politics of the Arab world and the Middle East. Films will be on reserve at Horn Library, and screenings will be scheduled. Prerequisites: Students need to be at least at a high intermediate level. This course is open to Advanced and heritage speakers of Arabic. ",Arts & Humanities,"Dec 15, 2018",20 of 20,20,"Abdelghany, Louissa",Tomasso 103,Undergraduate,01, Fall 2018,Full Session,"Aug 30, 2018",2018, 9:45AM-11:20AM,Fall,ARABIC CINEMA AND CULTURE
42,Advanced Liberal Arts,ECN3615,+/-Advanced Liberal Arts ,4.00,MW     9:45AM-11:20AM,MW,"ECN3615Money, Banking, and the Economy(Advanced Liberal Arts Elective)This course builds on the Foundations of Economics core, examining the macroeconomy. It explains in greater detail the banking system, credit, money and interest rate determination, as well as exploring the interrelationship between domestic and international financial markets and institutions. For anyone in business, it is important to understand the influence that domestic and global financial markets have on the business environment and its associated volatility. Students learn to interpret the business and financial press and inform decision-making through a deeper understanding of the banking system, macro policy debates, and the drivers of interest rates, exchange rates, international trade and capital flows, prices, and employment stability. This course is required for any student who wishes to participate in the College FED Challenge. Prerequisite: ECN2000 This course is typically offered in the following semesters: Fall, Spring and Summer I",Economics,"Dec 15, 2018",21 of 42,21,"Staveley-O'Carroll, Josh",Horn Computer Center 153,Undergraduate,01, Fall 2018,Full Session,"Aug 29, 2018",2018, 9:45AM-11:20AM,Fall,"MONEY, BANKING & THE ECONOMY"
42,Advanced Liberal Arts,ECN3615,+/-Advanced Liberal Arts ,4.00,TR    11:30AM- 1:05PM,TR,"ECN3615Money, Banking, and the Economy(Advanced Liberal Arts Elective)This course builds on the Foundations of Economics core, examining the macroeconomy. It explains in greater detail the banking system, credit, money and interest rate determination, as well as exploring the interrelationship between domestic and international financial markets and institutions. For anyone in business, it is important to understand the influence that domestic and global financial markets have on the business environment and its associated volatility. Students learn to interpret the business and financial press and inform decision-making through a deeper understanding of the banking system, macro policy debates, and the drivers of interest rates, exchange rates, international trade and capital flows, prices, and employment stability. This course is required for any student who wishes to participate in the College FED Challenge. Prerequisite: ECN2000This course is typically offered in the following semesters: Fall, Spring and Summer I",Economics,"Dec 15, 2018",33 of 42,33,"Stillwagon, Joshua",Tomasso 202,Undergraduate,02, Fall 2018,Full Session,"Aug 30, 2018",2018,11:30AM- 1:05PM,Fall,"MONEY, BANKING & THE ECONOMY"
0,Advanced Liberal Arts,ECN3630,+/-Advanced Liberal Arts ,4.00,TR     1:15PM- 2:50PM,TR,"ECN3630Industrial Organization & Public Policy(Advanced Lib Arts)This course explores how market structure and the inter-relations between industries influence the performance of firms, and how an understanding of these linkages enables firms to identify opportunities and challenges. Strategic decisions on a wide range of issues such as entry, entry deterrence, threats and opportunities in the supply chain, outsourcing and vertical integration, diversification, mergers and acquisitions, product positioning for acquiring competitive advantage as well as managing innovation for sustaining competitive advantage are addressed. Public policy and its role in industrial organization is discussed. Game Theory is introduced in the course and its application in various aspects of strategic business decision making is discussed. Cases from a wide range of industries are used to illustrate successful business strategies.Prerequisite: SME2031",Economics,"Dec 15, 2018",0 of 0,0,"CANCEL, CANCELMukherjee, Kankana", ,Undergraduate,01, Fall 2018,Full Session,"Aug 30, 2018",2018, 1:15PM- 2:50PM,Fall,INDUSTRIAL ORGANIZN & PUBLIC POLICY
30,Advanced Liberal Arts,ECN3645,+/-Advanced Liberal Arts ,4.00,MW     3:00PM- 4:35PM,MW,"ECN3645 Business and Economic Policy in Developing Countries (Advanced Liberal Arts).This course discusses the latest research in economics on the two fundamental questions of economic development: 1) why are some countries rich and some poor and what can be done about it, and 2) why are some individuals poor and remain poor for generations, and what can be done to alleviate poverty. In answering these questions, the course introduces students to the economic and political environment in poor countries. Topics include measures of development, economic growth, macroeconomic poverty traps (such as conflict, being landlocked, and low quality of institutions), foreign aid, and microeconomic poverty traps (such as poor nutrition and health, low educational endowments, and incomplete markets). The course introduces empirical strategies in economics to identify causal effect, such as randomized controlled trials, instrumental variable, difference-in-differences and regression discontinuity. Prerequisite: SME2031 and ECN2000",Economics,"Dec 15, 2018",16 of 30,16,"Joglekar, Deepak",Malloy 202,Undergraduate,01, Fall 2018,Full Session,"Aug 29, 2018",2018, 3:00PM- 4:35PM,Fall,BUSINESS & ECON POLICY IN DEVEL COUNTRY
42,Advanced Liberal Arts,ECN3650,+/-Advanced Liberal Arts ,4.00,TR     9:45AM-11:20AM,TR,"ECN3650Contemporary Economic Systems(Advanced Liberal Arts Elective)At the heart of contemporary economic debates is the question: what role should government play in the economy? This course provides a framework for understanding the real world implications and outcomes of these debates in the context of economic theories, policies and systems. The course begins with an exploration of the major economic theories as they have emerged through time and the problems each theory has sought to address. The course explores the big ideas in economics from free markets to communism to managed markets, and covers the core debates surrounding the relevance of fiscal, monetary, trade and policy/regulatory policies. The course then uses several policy and country case studies to explore the application of these ideas to pressing issues such as structural unemployment, inequality, civil conflict, climate change and the impacts of trade, focusing as well on the potential role of businesses and entrepreneurs in addressing these issues. Emphasizing fact-based analysis in assessing the goals and outcomes of diverse policies, the course builds critical thinking skills and helps prepare students for leadership roles in a dynamic global business environment.Prerequisite: SME2031 and ECN2000",Economics,"Dec 15, 2018",34 of 42,34,"Blitz, Amy",Tomasso 308,Undergraduate,01, Fall 2018,Full Session,"Aug 30, 2018",2018, 9:45AM-11:20AM,Fall,CONTEMPORARY ECONOMIC SYSTEMS
42,Advanced Liberal Arts,ECN3655,+/-Advanced Liberal Arts ,4.00,TR    11:30AM- 1:05PM,TR,"ECN3655Managerial Economics(Advanced Lib Arts)Whereas ECN3615 provides a more thorough understanding of the financial institutions, which are a very important sector of the macro economy, ECN3655 provides the analytical tools for managerial decision making and policy formulation for businesses and governments. Quantitative skills are emphasized and strengthened throughout the course of study. Many of the skills learned in this course are applicable to marketing research, financial analysis, and management strategy. Prerequisite: ECN2000 and SME2031This course is typically offered in the following semesters: Spring and Summer I",Economics,"Dec 15, 2018",10 of 42,10,"Mukherjee, Kankana",Malloy 101,Undergraduate,01, Fall 2018,Full Session,"Aug 30, 2018",2018,11:30AM- 1:05PM,Fall,MANAGERIAL ECONOMICS
42,Advanced Liberal Arts,ECN3655,+/-Advanced Liberal Arts ,4.00,MW     1:15PM- 2:50PM,MW,"ECN3655Managerial Economics(Advanced Lib Arts)Whereas ECN3615 provides a more thorough understanding of the financial institutions, which are a very important sector of the macro economy, ECN3655 provides the analytical tools for managerial decision making and policy formulation for businesses and governments. Quantitative skills are emphasized and strengthened throughout the course of study. Many of the skills learned in this course are applicable to marketing research, financial analysis, and management strategy. Prerequisite: ECN2000 and SME2031This course is typically offered in the following semesters: Spring and Summer I",Economics,"Dec 15, 2018",20 of 42,20,"Gai, Yunwei",Horn Computer Center 153,Undergraduate,02, Fall 2018,Full Session,"Aug 29, 2018",2018, 1:15PM- 2:50PM,Fall,MANAGERIAL ECONOMICS
20,Advanced Liberal Arts,ECN3660,+/-Advanced Liberal Arts ,4.00,MW     9:45AM-11:20AM,MW,"ECN3660International Trade Theory and Policy(Advanced Liberal Arts Elective)This course explores the theory behind international trade relationships, exchange-rate mechanisms and trade policies among the various major trading economies of the world. As international trade becomes a more important consideration for all countries, it is important to understand the rationale, costs, and benefits of trading relationships, as well as the incentives (often conflicting) behind trade policies. This course combines very nicely with ECN3665 for a more complete coverage of international economics.Prerequisite: SME2031This course is typically offered in the following semesters: Fall and Spring",Economics,"Dec 15, 2018",16 of 20,16,"Jones, Kent A",Babson 305,Undergraduate,01, Fall 2018,Full Session,"Aug 29, 2018",2018, 9:45AM-11:20AM,Fall,INTERNATIONAL TRADE THEORY & POLICY
30,Advanced Liberal Arts,ECN3662,+/-Advanced Liberal Arts ,4.00,TR    11:30AM- 1:05PM,TR,"ECN3662Political Economy of Latin American Development and Underdevelopment(Advanced Liberal Arts Elective)This course is for any individual interested in the political, financial, historical, and social determinants of economic development in Latin America. Both theoretical and policy issues in development are covered. Analyzing the characteristic volatility of the region's business environment, the course provides an in-depth examination of the workings of Latin America's economies, which in combination with courses in the liberal arts, leads to a greater appreciation of this region's global distinction and diversity.Prerequisite: (ECN2000) and (SME2031)This course is typically offered in the following semester: Fall",Economics,"Dec 15, 2018",30 of 30,30,"Ricciardi, Joseph M",Tomasso 308,Undergraduate,01, Fall 2018,Full Session,"Aug 30, 2018",2018,11:30AM- 1:05PM,Fall,POLITICAL ECON LATIN AM DEV/UNDRDEV
0,Advanced Liberal Arts,ECN3664,+/-Advanced Liberal Arts ,2.00,W      3:00PM- 4:35PM,W,"ECN3664: College Fed Challenge2 Advanced Liberal Arts Electives This course exposes selected students to a rigorous exploration of advanced macroeconomic and monetary economic concepts, with a special emphasis on the conduct of monetary policy by the U.S. Federal Reserve. During the semester, students will research appropriate economic topics and make policy oriented presentations. All aspects of the course will emphasize teamwork. The culminating experience of the course will be participation in the College Fed Challenge where students will present a fifteen minute monetary policy recommendation to a panel of local economists at the Federal Reserve Bank of Boston. The presentation is followed by a 15 minutes question and answer session.Prerequisites: ECN3615",Economics,"Dec 15, 2018",6 of 0,6,"Staveley-O'Carroll, Josh",Horn Computer Center 154,Undergraduate,01, Fall 2018,Full Session,"Aug 27, 2018",2018, 3:00PM- 4:35PM,Fall,COLLEGE FED CHALLENGE
20,Advanced Liberal Arts,ECN3665,+/-Advanced Liberal Arts ,4.00,MW     1:15PM- 2:50PM,MW,"ECN3665INTERNATIONAL FINANCE(Advanced Liberal Arts)This course provides broad and deep exposure to the (a) global financial institutions and markets, (b) quantitative and analytical tools, which are valuable for firms operating in the global marketplace, and (c) the costs and benefits of living in an increasingly interdependent world.   This is a very valuable course for anyone with international interests and/or anyone who would like to work in a globally oriented job.  Prerequisite: ECN2000This course is typically offered in the following semesters: Fall, Spring and Summer I",Economics,"Dec 15, 2018",17 of 20,17,"Jones, Kent A",Tomasso 107,Undergraduate,01, Fall 2018,Full Session,"Aug 29, 2018",2018, 1:15PM- 2:50PM,Fall,INTERNATIONAL FINANCE
30,Advanced Liberal Arts,ECN3667,+/-Advanced Liberal Arts ,4.00,MW    11:30AM- 1:05PM,MW,"ECN3667 Strategic Game TheoryAdvanced Liberal ArtsGame theory provides a simple, but rich, framework for analyzing once-off and repeated interplay between people or firms, where the manner in which each reacts depends upon the other's reaction: strategic interaction. These interactions occur in markets, in organizations, and in the household. This course-through lectures, experiential learning, and computer simulations-will attempt to provide students with understanding of many interactions they may encounter as managers, including price wars, wars of attrition, the value of cooperation interactions, and the value of information.Prerequisite: ECN2000 and SME2031",Economics,"Dec 15, 2018",30 of 30,30,"Korsak, John",Babson 305,Undergraduate,01, Fall 2018,Full Session,"Aug 29, 2018",2018,11:30AM- 1:05PM,Fall,STRATEGIC GAME THEORY
20,Advanced Liberal Arts,ENG4604,+/-Advanced Liberal Arts ,4.00,MW    11:30AM- 1:05PM,MW,"ENG4604Writing Poetry(Advanced Liberal Arts)A poet is a maker, an architect of words, spaces, and ideas and seeks expression through the use of various poetic techniques. This course challenges students to make original poetry through the study of contemporary American poetry and poetics. In addition to exploring the creative process through the crafting of poems, students read the poetry and essays of a wide variety of modern poets, work collaboratively to respond to peers' poems, attend poetry readings, and pursue independent study in an area of their own choice.Prerequisites: Any combination of 3 Intermediate Liberal Arts Courses (CVA, LVA, HSS)This course may be offered Spring or Fall semester.",Arts & Humanities,"Dec 15, 2018",20 of 20,20,"Pinard, Mary C",Tomasso 104,Undergraduate,01, Fall 2018,Full Session,"Aug 29, 2018",2018,11:30AM- 1:05PM,Fall,WRITING POETRY
20,Advanced Liberal Arts,ENG4620,+/-Advanced Liberal Arts ,4.00,MW     1:15PM- 2:50PM,MW,"ENG4620:01 Writing Creative Non-fiction4 Advanced Liberal Arts CreditsIn this course, we will read and study how creative non-fiction writers capture diverse subject matter including memoir, nature, travel, cultural, social and political essays.  The creative non-fiction essay draws upon the skills of fiction, poetry and expository writing to arrive to the writer’s unique perspective of the world.  The writer uses dialogue, description, setting, characterization, rhythm, sound and form to express active thinking on page.  Incorporating these diverse elements into an essay allows the writer to imagine, question, contradict and complicate subject matter.  In class, we will move through several exercises to hone our skills towards writing essays and will work collaboratively in offering feedback.  Writing Creative Non-fiction allows the writer great freedom to develop both their ideas and their writing skills. Prerequisite: Any combination of 3 intermediate liberal arts (HSS, CVA, LVA)",Arts & Humanities,"Dec 15, 2018",20 of 20,20,"Bauer, Stephen K",Luksic 17,Undergraduate,01, Fall 2018,Full Session,"Aug 29, 2018",2018, 1:15PM- 2:50PM,Fall,WRITING CREATIVE NON-FICTION
20,Advanced Liberal Arts,ENV4605,+/-Advanced Liberal Arts ,4.00,TR     3:00PM- 4:35PM,TR,"ENV4605: Global Environmental Activism4 Advanced Liberal Arts “It has never been more important to protect the environment, and it has never been more deadly. The battle for the environment is emerging as a new battleground for human rights.” (Global Witness). This course examines environmental activism around the world. The impact of anthropogenic activity on the environment has raised serious global concern and triggered several efforts to tackle the problem from the global to local level. Individuals and groups are using various tools to create awareness and help curb the growing environmental menace from different sources. Activists – especially local and indigenous ones – often face danger, including persecution by powerful actors like states and multilateral corporations, and the murder rate of environmental activists continues to rise globally. Environmental activism has thus become increasingly perilous. Nonetheless, advocacy for environmental responsibility remains vibrant around the world. This course uses various cases in different regions of the world to help understand the global environmental movement These cases include Shell in Nigeria’s Niger Delta; Tahoe Resources in the Guatemalan town of Mataquescuintla; and Coca-Cola in India. The course  will use these cases to examine: 1) the theoretical basis of environmental activism; 2) motivations of and challenges for activism; 3) the nature and composition of actors – activists, perpetrators and collaborators, policy communities, and governments; 4) nature and scope of issues and activism in the various regions of the world; and 5) relationships between environmental degradation, advocacy for its protection, and climate change.Prerequisites: Any combination of 3 intermediate liberal arts (CVA/HSS/LVA)",History & Society,"Dec 15, 2018",14 of 20,14,"Adivilah, Timothy",Trim 201,Undergraduate,01, Fall 2018,Full Session,"Aug 30, 2018",2018, 3:00PM- 4:35PM,Fall,GLOBAL ENVIRONMENTAL ACTIVISM
0,Advanced Liberal Arts,ENV4605,+/-Advanced Liberal Arts ,4.00,TR     4:45PM- 6:20PM,TR,"ENV4605: Global Environmental Activism4 Advanced Liberal Arts “It has never been more important to protect the environment, and it has never been more deadly. The battle for the environment is emerging as a new battleground for human rights.” (Global Witness). This course examines environmental activism around the world. The impact of anthropogenic activity on the environment has raised serious global concern and triggered several efforts to tackle the problem from the global to local level. Individuals and groups are using various tools to create awareness and help curb the growing environmental menace from different sources. Activists – especially local and indigenous ones – often face danger, including persecution by powerful actors like states and multilateral corporations, and the murder rate of environmental activists continues to rise globally. Environmental activism has thus become increasingly perilous. Nonetheless, advocacy for environmental responsibility remains vibrant around the world. This course uses various cases in different regions of the world to help understand the global environmental movement These cases include Shell in Nigeria’s Niger Delta; Tahoe Resources in the Guatemalan town of Mataquescuintla; and Coca-Cola in India. The course  will use these cases to examine: 1) the theoretical basis of environmental activism; 2) motivations of and challenges for activism; 3) the nature and composition of actors – activists, perpetrators and collaborators, policy communities, and governments; 4) nature and scope of issues and activism in the various regions of the world; and 5) relationships between environmental degradation, advocacy for its protection, and climate change.Prerequisites: Any combination of 3 intermediate liberal arts (CVA/HSS/LVA)",History & Society,"Dec 15, 2018",0 of 0,0,"Adivilah, TimothyCANCEL, CANCEL",Trim 201,Undergraduate,02, Fall 2018,Full Session,"Aug 30, 2018",2018, 4:45PM- 6:20PM,Fall,GLOBAL ENVIRONMENTAL ACTIVISM
20,Advanced Liberal Arts,FLM4610,+/-Advanced Liberal Arts ,4.00,M      1:15PM- 4:35PM,M,"FLM4610 Work, Play and Adulthood in American Movies4 credit advanced liberal artsWhat constitutes the good life?  How do  we define success?   What happens when individuals’ definitions of success collide with broad-based cultural assumptions about achievement and happiness?  What are the markers of adulthood?  What’s gained and what’s lost once childhood and adolescence end?  From the silent film era to the present, American movies have examined such questions along with our collective attitudes toward work, leisure, and pleasure.  In this film history course, we will view movies from across the decades and read works of social theory, history and philosophy in an effort to understand how popular culture narratives have framed  -- and sometimes challenged -- those attitudes.  The course will be run as a seminar with students responsible for preparing and leading class discussion each week.  Coursework will include weekly reading and film viewing, oral presentations, papers and tests.  Prerequisites: Three intermediate liberal arts (HSS LVA CVA)",Arts & Humanities,"Dec 15, 2018",20 of 20,20,"Levinson, Julie",Hollister 305,Undergraduate,01, Fall 2018,Full Session,"Sep 10, 2018",2018, 1:15PM- 4:35PM,Fall,"WORK, PLAY & ADULTHOOD IN AMER MOVIES"
